,,,,
,,,,
,,TOPIC/INTENT,FACTUAL CONTEXT(THE ANSWER)),KEYWORDS/TAGS
,,Academic - Aptitude Board Exam Test,"Ang Aptitude Test ay isang non-graded na pagsusulit na idinisenyo upang masukat ang kakayahan at antas ng pag-unawa ng isang mag-aaral kaugnay ng kanyang napiling kurso. Layunin nito na gabayan ang mga mag-aaral sa pagtukoy ng kanilang mga kalakasan at mga aspetong kailangan pang pagbutihin para sa kanilang akademikong pag-unlad. Ang resulta ng pagsusulit ay hindi ginagamit para sa grading, kundi nagsisilbing batayan para sa academic guidance, reference, at intervention planning ng Academic Affairs. Sa ICCT Colleges, ang Aptitude Test Program ay ipinatutupad lamang para sa mga first-year students na naka-enroll sa mga kursong may licensure o board examinations tulad ng BSC, BSA, BSREM, BSP, BEEd, BSEd, BECEd, BSN, BSMedTech, at BSRadTech, at isinasagawa ito tuwing ikatlong trimester period.","ano ang aptitude test, non-graded examination, board exam courses, licensure tracks, academic guidance baseline, 3rd trimester schedule"
,,,,
,,Enrollment - Stop Out Continuing Procedures,"Kapag huminto po tayo ngayong 3rd Trimester Academic Period, maaaring po nating ipagpatuloy or mag-enrol pa rin sa parating na 1st Trimester Academic Period. Mag-WALK-IN lang po tayo sa araw or schedule ng inyong college para makapag-enlist ng subjects at para ma-assist po kayo ng ating ENROLLMENT ADVISORY GROUP. Sila po ang tutulong sa inyo to identify subject or block section na maaari mong i-enlist or register. Kadalasan, sa mga programs na may maraming student population tulad BSC, BSHM or BSIT, ay may naka-open na sections offering subjects na under ng 3rd Trimester period lalo na sa mga 1st or 2nd Year Level students (section code: 113 or 213). Para sa anumang katanungan, maaari po tayong tumawag sa Tele-Assistance Hotlines: 0932.872.4228 / 0917.814.4228","paano mag-enroll kapag huminto ng isang trimester, stop out student procedures, enrollment advisory group, block sections 113 or 213, high population tracks"
,,,,
,,Portal - Manual Delete Enlistments,"Maaari po tayong mag WALK-IN or tumawag sa Portal Hotlines: 0961.077.6611, 0939.806.8837, 0969.295.5241 para magpa-delete ng enlisted subjects or section dahil sa mga sumusunud na dahilan: (1) Nagkamali ng enlisted subject or section, (2) Napindot na ang SAVE button kaya hindi na accessible ang delete button, (3) “No Available Slots” na ang ibang subject/s, (4) Magpapalit ng modality, (5) Magpapalit ng session, o (6) Hindi muna magpapatuloy sa pag-enroll. Otherwise, antayin ang 2nd cycle of enrollment o sa araw ng “All Courses” enrolment schedule kung saan burado na ang mga TCS na hindi pa settled at least Down Payments after 48 hours or depende sa advisory ng ating paaralan. Kapag deleted na, maaari ka ng mag enlist ulit. Laging siguraduhin na bago pindutin ang SAVED button, tama ang mga enlisted subjects. NOTE: Check your STUDENT LEDGER, kapag ang total fees na nasa TCS mo ay naka-reflect pa rin, it means, hindi pa deleted ang TCS mo","paano magpa-delete ng enlisted subject, locked save button error, reasons for deletion, 2nd cycle enrollment, all courses schedule cleanup, check student ledger tcs verification"
,,,,
,,Portal - Forgot to Uncheck Online Button,"Sa lahat ng OLD/CONTINUING STUDENTS, huwag kakalimutan na i-UNCHECK ang Online Class button sa may ASSESSMENT of FEES sa tuwing mag-generate ng Tentative Class Schedule (TCS) sa inyong Student Portal. Maiging i-double check muna ang Assessed Fees bago i-click ang SAVE ASSESSMENT button. Dapat, 1,030 ang lalabas na DP kung Instalment Basis ang inyong Mode of Payment, kung cash basis naman, tignan ang TCS, kung naka P1,030 ang DP sa assessment column ng Installment Basis. Kung nakaligtan po eto at nakapag-generate ka na ng TCS, maaring gawin ang mga sumusunud KUNG HINDI PA PO KAYO BAYAD: (1) HUWAG MAGBAYAD hangang hindi mo napapaayus ang Assessment of Fees ng inyong TCS; simply visit or call the Accounting Office or Tele-assistance Group for REASSESSMENT OF FEES. (2) TUMAWAG SA PORTAL HOTLINES para ipa-delete ang enlisted subjects. Then maaari ka ng mag-enlist muli. (3) MAGTUNGO SA PORTAL HUB sa araw ng inyong college enrolment para ipa-REASSESSED ang inyong accounts or ipa-delete ang enlisted subjects para makapag-enlist muli. (4) RE-ENLIST SA ARAW NG INYONG COLLEGE ENROLLMENT – SECOND OR FINAL CYCLE. Mag-WALKIN po tayo sa araw ng inyong college enrollment. KUNG BAYAD NAMAN NA PO KAYO, manual pong i-REASSESSED ng teller ang inyong accounts at lilitaw sa inyong DASHBOARD ang kulang na amount or balance. Gawin po agad ang mga sumusunod: (1) Bayaran po agad natin ang balance or kulang na payment bago mag umpisa ang classes. (2) Kapag nag-reflect na po ang iyong binayad, i-download ang ORF; i-compare eto sa luma kong TCS and check the difference in terms of amount. (3) Tignan din po ang inyong ACCOUNTS Student Ledger para ma-determine kung nagbago ang total amount base sa nakalagay sa ORF. (4) Kung sa REAL-TIME PAYMENT tulad ng GCASH, ECPAY, PALAWAN PAY or 7ELEVEN po tayo nagbayad, maaaring hindi otomatikong mag reflect ang inyong binayad or mag-prompt message sa inyong DASHBOARD ang balance or kulang na amount; maaari po tayong tumawag sa TELE-ASSISTANCE GROUP - 0947.895.4228; 0932.872.4228; 0917.814.4228","nakalimutan iuncheck ang online class button, error tracking, fees discrepancy, incorrect downpayment error, reassessment of fees, paid options modifications, manual balancing"
,,,,
,,Academic - Academic Term System Matrix,"Ako ay 1st year student (continuing student), paano po mag-ENLIST ng SUBJECTS para sa 2nd Trimester Period? (1) Mag-login sa inyong student portal account ( https://sms.icct.edu.ph ) sa araw ng SUBJECT ENLISTMENT/ENROLLMENT NG INYONG COLLEGE; makikita ang enrolment schedule ng bawat college sa inyong Dashboard. (2) Mula sa inyong DASHBOARD, pumunta sa REGISTRATION menu; or maaari mo rin i-VIEW ang mga Section Offering sa may SECTION OFFERING menu. (3) Kapag nasa REGISTRATION menu ka na, i-click ang MODALITY then SECTION field para mapili or lumabas ang mga subjects; kung tama ang subject at section, maaari mo ng i-SAVE po eto; kung kayo ay LF or Limited F2F Classes/Section, huwag kalimutang i-UNCLICK ang Ol/Online Class button para masigurado na tama po ang inyong FEES sa system. (4) Then, pipili po kayo ng MODE OF PAYMENT at i-save ang ASSESSMENT. (5) Pindutin ang ASSESSMENT button para ma-download ang inyong TENTATIVE CLASS SCHEDULE or TCS. (6) Kung tama na ang nasa TCS mo, maaari ka na magbayad ng downpayment or full amount within 48 hours; sundan ang procedure sa pagbayad. (7) Kapag nag reflect na ang inyong payment, maari mo ng i-download ang iyong OFFICIAL REGISTRATION FORM o ORF. Classes para sa 2nd trimester AY2024-2025 ay maguumpisa sa December 2, 2024. MAAARi po tayong mag-WALKIN Enlistment/Enrollment sa ating mga campuses PORTAL HUB kung tayo ay nahihirapan gamitin ang portal.","step-by-step continuing student enrollment, paano mag-enlist ng subjects, registration menu guide, tcs validation, 48 hours validation timeline, walkin portal hub support"
,,,,
,,Academic - Graduating Requested Subjects,"RS / REQUESTED SUBJECTS ay maaari naman pong ma-avail during 2nd and 3rd trimester periods; GRADUATING students lamang po ang allowed para mag-request ng subject/s to open base sa ating Student Handbook. Kung tayo ay may mga BACK SUBJECTS, FAILED/DROP SUBJECTS or INC na lampas 1 year na, hangat maaga, during enrolment period ng inyong college, ipa-ADD SUBJECT na po natin thru walk-in enrolment para maiwasan na kung kailan kayo nasa terminal year, saka lang po hinahabol. Tignan po natin ang PROSPECTUS kung anung trimester period regularly open ang subject para alam po natin na naka-open po eto. Bilang isang mag-aaral, tungkulin din po nating i-monitor ang academic standing every end of trimester period; mahalaga na iwasang may failed, drop and INC grades para hindi po tayo maging irregular student; at tandaan din po natin na wag antayin ang huling trimester period para kunin ang mga back subjects. ADDING SUBJECT/S guidelines are also strictly implemented. Approval from the Academic Affairs Office is required. Para sa proper guidance and advices, maaari po kayong lumapit sa inyong College / Academic Heads, Professors, Instructors and/or Campus Coordinators.","requested subjects, rs guidelines, back subjects, failed tracks cleanup, irregular tracking preventive, validation signatures academic affairs"
,,,,
,,Enrollment - Enlisted vs Enrolled Defined,"Anu po ang pagkakaiba ng salitang ENLISTED at ENROLLED? Sa panahon ng ONLINE and WALK-IN ENROLLMENT PERIOD, gamit ang inyong STUDENT PORTAL, ang unang processo ay ang ENLISTMENT OF SUBJECTS mula sa inyong REGISTRATION menu. Kapag nakapili na po tayo ng Modality at Section, at lumitaw na ang mga subjects tugma sa inyong PROSPECTUS, kailangan pindutin ang SAVE button then ang ASSESSMENT button; kung LF modality or section po tayo, dapat i-unchecked ang OL Class para tumugma ang Assessment of Fees; piliin ang MODE OF PAYMENTS, saka po natin i-SAVE ASSESSMENT. Click ang TENTATIVE CLASS SCHEDULE button para ma-generate ang inyong TCS. Double check kung lahat ng subjects ay naka-ENLISTED. Dahil diyan, ikaw ay successful ng nakagawa ng TCS, ang tawag at tamang salitang gamitin ay “ENLISTED” instead of enrolled. “ENROLLED” naman ang gagamitin mong salita kung ikaw ay successful ng nakapagbayad ng at least DP/Downpayment or Full Amount, at reflected na po ang payment sa inyong ACCOUNTS LEDGER, then nakapag-generate ka na rin ng inyong ORF/OFFICAL REGISTRATION FORM. Sa makatuwid, “ENROLLED” ka na po kung meron ka ng ORF. Kapag TCS pa lang ang hawak natin, “ENLISTED” pa lang ang inyong nagagawa sa enrollment process.","pagkakaiba ng enlisted at enrolled, definition of terms, tcs definition, orf lock confirmation, registration workflow tracking"
,,,,
,,Portal - New Student Access Limitations,"Ang mga newly enrolled students para sa 1st trimester AY2024-2025 ay maaari na po kayong mag-create or initial login sa inyong Student Portal gamit ang STUDENT ID NUMBER na pinadala thru “ICCT Info” text (Ex. CA202412345). Kapag successful ang initial log-in, siguraduhin na tandaan ang inyong NEW USERNAME at ang ginawa mong PASSWORD. Dahil ongoing pa po ang 3rd trimester ng kasalukuyang school year, HINDI PA PO NATIN MAAARING I-DOWNLOAD ang ating ORF or Official Registration Form hangat “Closed Registration” ang prompt message na nasa REGISTRATION menu. Magbubukas lamang po ang Registration sa ating Student Portal kapag nag “CLOSE” or natapus na po officially ang kasalukuyang 3rd trimester period. Tentatively, August 1, 2024 po mag-open ang “Registration” ng bawat colleges at saka lang po tayo maaaring mag-download ng ating ORF. Para sa anu mang katanungan, maaari po tayong tumawag sa ICCT Colleges Tele-Assistance Group: 0947.895.4228; 0932.872.4228; 0917.814.4228. Maari lamang kayo makapag-INITIAL Set-Up sa Online Student Portal kung kayo ay meron ng Official Registration Form (ORF). Ang Tentative Class Schedule (TCS) and Assessment na binigay sa inyo ay unang processo lamang para makapgbayad kayo at maipasok ng ating teller ang inyong ibabayad sa ating otorisadong payment centers/apps; then, makakatangap kayo ng ORF or Student ID No. mula sa Admissions Office thru e-mail. If you encounter issues or problems, tumawag sa Student Portal Assistance Hotlines: 0926.825.3289 or 0961.077.6611 (Monday, Tuesday, Thursday and Friday, 8am to 5pm).","new student portal lockouts, closed registration error message, target calendar launch dates, initial login set-up steps, tcs limitation parameters, hotlines support numbers"
,,,,
,,Portal - Online Payment ORF Delays,"Kung nagbayad po tayo thru ONLINE PAYMENTS (GCash, ECPay, 7Eleven, CLIQQ and PalawanPay) gamit ang Reference Number generated from your Student Portal, real-time po eto na mag-REFLECT sa ating Student Ledger (ACCOUNT menu). During enrolment period, maaaring real-time din po na ma-GENERATE ang inyong ORF at kung sakaling hindi nag-otomatikong generated ang ORF, hintayin within 48 hours para ma-trigger ni teller ang inyong ORF generation. Hindi po maiiwasan ang ganitong system glitches of both parties lalo na po sa panahon ng enrollment kung san marami gumagamit ng ating online services. Siguraduhin din po na tama ang binyaran na FULL AMOUNT with DISCOUNT, FULL AMOUNT, DOWNPAYMENT, or DOWPAYMENT plus Late Enrollees Fee and Penalty kung kayo ay nag-enrol after ng regular enrollment cycles/period para ma-generate ang iyong ORF. Maaari din po tayo sumanguni sa ating PORTAL ASISSTANCE HOTLINES: 0961.077.6611, 0939.806.8837 or 0969.295.5241; Monday to Saturday except Holidays, from 7am to 7pm. REMINDERS: Sa mga nag-settle ng payment thru OVER-THE-COUNTER/APPS tulad sa Cebuana, Mlhuillier, Unionbank at PBB, ang inyong payments ay manually encoded within 2 to 3 working days (Monday to Friday) except holidays","online processing delays for orf, 48 hours verification check, system congestion factors, check penalty compliance, manual recording delays"
,,,,
,,Portal - Automatic Deletion Logic,"During ENLISTMENT and ENROLLMENT period, ang bawat estudyante ay maaaring mag-enlist ng subjects thru ONLINE PORTAL, PORTAL HOTLINES ASSISTANCE or WALK-IN ASSISTANCE. Kapag hindi pa po tayo sigurdo sa napiling SECTION, iwasan na i-click ang SAVE at ASSESSMENT button para maaari ka pang makapili ng ibang section. Check kung tama lahat yun subjects and number of units bago mag-proceed sa ASSESSMENT of FEES. Sa Assessment of Fees, i-check muli ang mga subjects kung eto ay tugma or kumpleto base sa inyong enlisted subjects bago pumili ng Mode of Payment, then Save Assessment. Pindutin ang Tentative & Assessment Button para ma-generate ang iyong TCS. Tandaan po natin na ang mga enlisted subjects or generated TCS ay mananatiling reserve slot po ninyo eto within 48 hours. Kaya maiging bayaran po natin ang downpayment, or full amount with discounts within 48 hours para mag-proceed for the generation of Official Registration Form (ORF). Base sa ating STUDENT ADVISORY, ngayong enrollment period ng 3rd Trimester AY2021-2022 ay inumpisahang gamitin ang isang feature ng ating bagong School Management System (SMS) kung saan OTOMATIKONG MABUBURA ANG MGA ENLISTED SECTION AND SUBJECTS ng isang student kapag hindi eto nagbayad ng downpayment (P1,000) o full amount within 48 hours mula nun siya ay mag-enlist sa student portal, mapa-online o walk-in pa po eto. Ibig sabihin po, dapat nakapag settle na po tayo ng fees para mag-lock sa system ang inyong napiling section, subjects and class schedules. Ang feature na eto ay implemented para sa mga sumusunud na kadahilanan: (1) Maiwasan ang mga sections na mag-close dahil maraming nag-enlist pero iilan lang ang nag-enroll. Nag-enroll means ay meron enlisted na subjects at bayad ng downpayment (P1,000) o full amount. (2) Para masmamonitor po ang bilang ng studyante sa bawat section and subjects offered at maiwasan ang ibang students na masaraduhan sa mga subjects offered. (3) Kung sakali na nagkamali po tayo sa enlistment, antayin lamang ang 48 hours para ma-delete at makapag-enlist ulit during enrollment schedule para sa lahat ng courses o colleges (April 30 up to May 4, 2022)","bakit nawala ang enlisted section ko, automatic clean-up rules, 48 hours system cleanup, locked slots parameters, check orf generation, target calendar dates system optimization"
,,,,
,,Accounting - New Student Payment Instructions,"FOR COLLEGE APPLICANTS/NEW STUDENTS: Base sa enrolment procedure, kapag natapus mo na ang STEP 1 to 4, at sa STEP 5 kung saan nakatangap ka na ng TCS o Tentative Class Schedule, maaari na po tayong magbayad ng at least DOWNPAYMENT na P1,000 kung ikaw OL class or P1,140 kung ikaw ay LF class; or maaari din ang kabuoang amount kung tayo ay mag cash basis – P5,058.50 (OL class) / P5,628.50 (LF class). Magbayad lamang po sa CEBUANA, MLHUILLIER or PHILIPPINE BUSINESS BANK (All Branches). Gamitin ang inyong application no. (example – CA2425A00001) as Reference Number. Within 2 to 3 banking days, kayo ay makakatangap ng “ICCT Info” text confirming your payment and also indicated is your STUDENT ID NO. (Example – CA202401234) . FOR SHS GRADE 11 APPLICANTS: Base sa enrolment procedure, kapag natapus mo na ang STEP 1 and 2, sa STEP 3, maaari na po kayong magbayad ng P370 na REGISTRATION FEE; sa STEP 4, dapat isumite ang lahat ng admission requirements sa anu mang campuses ng ICCT Colleges para makatangap ng inyong TCS o Tentative Class Schedule; HINDI NA KAILANGANG MAGBAYAD NG DP ang lahat ng mga Grade 10 completers from Public Schools; at para sa mga PAYEES, maaari na po tayong magbayad ng at least DOWNPAYMENT na P1,000; or maaari din ang kabuoang amount kung tayo ay mag cash basis – P9,625. Magbayad lamang po sa CEBUANA, MLHUILLIER or PHILIPPINE BUSINESS BANK (All Branches). Gamitin ang inyong application no. (example – CA2425A00002) as Reference Number. Within 2 to 3 banking days, kayo ay makakatangap ng “ICCT Info” text confirming your payment and also indicated is your STUDENT ID NO. (Example – HA202400123) . Through OVER-THE-COUNTER PAYMENTS lang po muna maaaring magbayad ng Tuition Fees dahil wala pa po kayong access sa Student Portal. Kailangang magenerate muna ang inyong Student ID Number para makapag-create ng inyong account sa ating Student Portal.","new student payment matrix, downpayment values online versus hybrid, cash calculation benchmarks, public school complete incentives, over-the-counter limitations"
,,,,
,,Accounting - Cash Discount After Downpayment,"Kung bayad ka na po ng downpayment or nagenerate na ang ORF mo pero gusto mo i-avail ang cash basis discounted amount, maaari lamang na i-settle ang kabuoan ng cash basis amount on or before classes start. Example: Kung ang cash basis discounted amount ay P5,058.50 less ang DP P1,000 = P4,058.50 ang kailangan mabayaran sa Cebuana or MLhuillier; lagyan ng “CB” (Cash Basis) sa dulo ng inyong student ID number; hindi po maaaring makapag-generate ng Reference Number dahil naka-tag na ang inyong assessment as installment basis kaya manually adjusted ang gagawin sa account mo kapag i-encode ni teller ang payment mo. Tuwing enrollment period, tandaan na maaari pong ma-avail ang cash discounted amount basta nabayaran mo ng full cash basis amount bago mag-umpisa ang classes. Opo. Kung Full Payment with Discount ang napili mong mode of payment noon nag-enlist and assessment of fees po kayo, MAAARI PA RIN TAYONG MAGBAYAD NG DOWNPAYMENT sa mga Over-the-Counter Payment Centers tulad ng Cebuana Lhuillier, MLhuillier, Philippine Business Bank (PBB – All Branches) or sa Unionbank Online Payment. Lagyan ng “DP” payment code sa dulo ng inyong ID number (Ex. CA202312345DP). HINDI po tayong maarig magbayad sa GCash or ECPay dahil hindi po tayo makakapag-generate ng RefNum mula sa ating Student Portal dahil naka Full Payment mode of payment yun account po natin. After 2 to 3 days from date of payment, makakatangap po kayo ng confirmation ng inyong binayad thru text message from “ICCT Info”. Kung sakali na gusto mo pa rin ma-avail ang 10% discount for cash Basis, maaari mong bayaran yun balance base sa total discounted amount on or before classes start. Kung installment basis payment mode naman po ang napili, pwde pa rin po nating ma-avail ang Full Payment with Discount by simply paying the full discounted amount on or before classes start sa ating mga Over-the-Counter Payment Centers","paano mahabol ang cash basis discount, adding cash basis tag, manual teller modifications, reference formatting errors, gcash lockout validations"
,,,,
,,Academic - Special Order Definition,"Ang ICCT Colleges ay isang regulated school ng national government education agencies – yan po ang CHED or Commission on Higher Education para sa mga Bachelor/Degree Programs; TESDA or Technical Education and Skills Development Authority para sa mga TechVoc and Short Term Courses; at DepEd or Department of Education, para sa mga Senior High School. Kailangan ma-processo ang SO# or Special Order Number ng mga graduates sa mga naturang agencies kapag regulated school. Mahalaga ang SO No. para sa inyong DIPLOMA and TOR (Transcript of Records) / FORM 137 (SHS). Eto ay katibayan na ang natapus ninyong degree, non-degree or SHS specialization ay recognized and approved ng ating mga education agencies. Mahabang processo rin ang pagkuha ng SO No. kaya bilang isang graduate lalo na po sa panahon ng pandemya; maaari kayong humingi ng Certificate of Graduation kung saan lalagyan ng remarks na “Special Order (SO) Number is under process” at Summary of Grades para magamit ninyo sa anumang legal matters lalung lalo na sa pag-apply ng trabaho","ano ang special order number, government education parameters, regulators list, validity checks, provisional documentations"
,,,,
,,Portal - Buying Uniforms & Laces,"Una, dapat ay officially enrolled napo kayo; ibig sabihin nakapag-generate na ng ORF, meron ng STUDENT ID NUMBER at nakapag SET-UP or ACTIVATE na ng STUDENT PORTAL account. Mula sa inyong Student Portal, i-click ang ACCOUNTS, then pindutin ang “Online Payment”; piliin or tick yun bibilhing school uniform or item/s, saka i-generate ang REFERENCE NUMBER. Gamitin ang REFERENCE NUMBER sa pagbayad thru GCASH, 7ELEVEN, ECPAY and PALAWANPAY. Kapag successful sa pagbabayad, otomatikong makakatanagp ng “ICCT Info” text message to confirm na ang inyong bayad ay nag reflect na sa inyong Accounts Ledger. Buksan ang inyong ACCOUNTS LEDGER from your Student Portal (ACCOUNT Menu); under Non-Assessment Fees, makikita doon ang payments for your school uniform; pumunta sa Supply Office ng school (Cainta main Campus) or sa Admissions Counter ng inyong respective campuses para i-CLAIM ang uniform mo from Monday to Saturday except Holidays, 7am to 7pm. School uniform size (XS to XL) is subject for availability and/or first come first serve basis; sa mismong campus na po ninyo sasabihin ang size na need ninyo at actual din ninyong isusukat. Bigger than XL are order basis","paano bumili ng uniform sa portal, purchase id lace online, generation of item refnums, claiming hubs, size charts operational logistics"
,,,,
,,Enrollment - Balik Aral Readmissions,"Kung kayo ay nakapag-apply na po sa ating Balik-Aral Program Google Form, cleared na sa Accounting and Guidance Office, at may approval na bilang BAP student, ang susunud na process ay mag-attend sa nakatakdang BAP Orientation kung paano gamitin at i-activate ang inyong Student Portal. Bilang re-admitted or BAP student, kayo ay kabilang sa ating mga OLD or CONTINUING STUDENTS, sa makatuwid, ang inyon enrolment ay sa mismong enrolment or enlistment of subjects schedule ng ating OLD or CONTINUING STUDENTS. Kapag natapus na po ang trimester period, makikita po natin sa ating Student Portal account at official Facebook account ang ENLISTMENT OR ENROLLMENT SCHEDULE per COLLEGE. Kung nahihirapan gamitin ang portal sa enrolment, maaari po tayong mag-WALK-IN ENROLLMENT sa schedule ng inyong college. REMINDER: Ang mga huminto lamang po ng more than a school year ang under ng Balik Aral Program. So kung kayo ay huminto lamang ng isa or dalawang trimester period, at ACTIVE pa ang inyong Student Portal, NO NEED to apply for BAP, pero mas maigi na mag enrol po tayo thru WALKIN para ma-assist kayong mabuti sa mga subjects na dapat i-enroll sa kasalukuyang trimester period. Siguraduhin din na completely settled ang inyong account sa Accounting at saka wala ng kulang na documents sa Admissions Requirement.","balik aral program rules, readmission protocols, profile reactivation configurations, standard exclusions parameters, clearing targets database"
,,,,
,,Requirements - Certificate of Enrollment,"Kung kayo po ay officially enrolled or sa mga NEW STUDENTS, dapat generated na po ang inyong Student ID Number (Example: CA202400123), mag-LOGIN lamang po sa inyong STUDENT PORTAL account para makapag-generate ng Reference Number to pay Certificate of Enrollment (CoE). Mula sa dashboard, i-click ang ACCOUNTS menu, then click ang ONLINE PAYMENT button at hanapin ang CoE, then click Generate Reference Number; bayaran within 48 hours gamit ang reference number sa GCash, ECpay or 7Eleven. Kapag reflected na po ang payment sa inyong Student Ledger, i-screenshot po eto at ipadala ang request thru EMAIL: scholars@icct.edu.ph, subject must be “CoE for Scholarship” at ilagay ang inyong buong pangalan, student ID number, contact number at kurso; makakatangap ng confirmation and schedule of releasing within 2 to 3 days","paano kumuha ng coe, certificate of enrollment request, processing references online payments, scholarship validation emails"
,,,,
,,Portal - Examination Permit Numbers,"Ang Examination Permit Number (EPN) ay kailangan maibigay sa inyong professors o instructors sa araw ng ating major examination para maitala or record ang result ng inyong exam sa Teachers Online Portal. Ang EPN ay makikita sa bandang ibaba sa gawing kaliwa ng inyong ORF. Kung kayo ay CASH BASIS, makikita ang EPN sa may field ng Cash Basis. One time EPN po eto na magagamit na sa inyong Prelim, Midterm and Final Exam. Para naman sa mga INSTALLMENT BASIS, ang EPN para sa Prelim Exam ay lilitaw kapag nabayaran ng buo ang inyong 1st and 2nd Installment Dues; 3rd and 4th Installment Dues naman ang bayad na para lumitaw ang EPN ng Midterm Exam; at ang EPN ng Final Exam ay kapag settled na ang 5th Installment Dues or FULLY PAID na po tayo para sa buong trimester period. REMINDER: Para maiwasan na hindi kayo makapag-exam ng Prelim and Midterm, maaari po tayong mag-apply ng PROMISSORY NOTE kung hindi natin kayang bayaran agad ang 2nd Installment or 4th Installment para sa generation ng EPN for Prelim and Midterm respectively. Bumisita sa Guidance Office para mag-apply ng Promissory Note kasama ang inyong Parent or Guardian with Valid IDs. Ang Promissory Note ay subject for approval po eto kaya, i-process po eto 3 to 5 days bago mag-Prelim or Midterm Exam. Sa Final Exam naman, maaari po tayong mag-exam during special examination period once nagenerate na po ang ating EPN para sa Final Exam. Base sa ICCT Colleges Student Handbook, kapag ang isang student ay may outstanding or overdue accounts na hindi kayang ma-settle agad, maaari pong mag-apply ng PROMISSORY NOTE (PN) sa Guidance Office. I-submit ang LETTER OF REQUEST FOR PROMISSORY NOTE duly signed by your parent/guardian and copy of his/her valid ID a week before examination period. Siguraduhin nakapaloob sa inyong letter ang inyong Full Name, Student ID No., Course, Year Level, Campus at ang amount ng inyong account for PN at DATE kung kailan kayang bayaran. Allowed lamang po ang Promissory Note during Prelim and Midterm Examinations para mabigyan kayo ng EXAM PERMIT. Sa kasalukuyan dahil sa pandemic, maaari din po natin i-send thru email – guidance@icct.edu.ph ang inyong PN requirements; makakatangap po kayo ng instruction at ang approval ng inyong request ng Promissory Note. Ang Promissory Note ay maaari ring i-avail ng ating mga school leavers under Balik-Aral Program. Para sa anumang katanungan, maaaring tumawag sa GUIDANCE OFFICE thru (02)7955.6284 local 130 or 0961.077.6611","examination permit number, epn structure, visual layout landmarks, installment baseline checkpoints, promissory note validation flows"
,,,,
,,Portal - Missing Assessment Selection Options,"Paano po ang gagawin kapag walang options sa MODE OF PAYMENT ng Assessment of Fees? (1) Minsan lang po tayo maaaring mag-create ng Tentative Class Schedule (TCS) and save assessment fees; kaya kapag nagawa na po eto, hindi na po kayo maaaring mamili ng ibang mode of payment. Kung magpapalit po ng enlisted subjects at assessment, kailangang mag walk-in sa Portal Hub. (2) Huwag kalimutang pindutin ang SAVE BUTTON ng Enlisted Subjects bago mag-assessment of fees; yan ay maaaring dahilan kung bakit walang mode of payment. (3) Pumunta sa may PROFILE, i-click ang YEAR LEVEL, at huwag kalimutang i-click ang SAVE button para ma-update ang iyong Profile. Nasa SHEET 4 ang save button. Then, bumalik sa may REGISTRATION menu, i-save ang enlisted subjects at saka piliin na ang mode of payment.","walang options sa mode of payment, troubleshooting locked drops, missing step tracking, sheet 4 navigation profiles"
